,entity_name,filename,entity_type,snippet
0,"revoceeren
",NL-HaNA_1.04.02_6847_0325.txt,PERSON,"weeder te revoceeren
en voorts "
1,Kragt,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"zoodanige Kragt
en waarde"
2,inne Woordelijk,NL-HaNA_1.04.02_6847_0325.txt,PERSON," het hier
inne Woordelijk stonde ge"
3,testam=,NL-HaNA_1.04.02_6847_0325.txt,ORG,"t zij als testam= Codicil
o"
4,passeerende ten mijnen Comptoire,NL-HaNA_1.04.02_6847_0325.txt,GPE,"Dat aldus passeerende ten mijnen Comptoire, en ’t
bi"
5,David Jansz,NL-HaNA_1.04.02_6847_0325.txt,PERSON,eesen van David Jansz: ende Fre
6,Fredericus Con,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"nsz: ende Fredericus Con„
stantijn"
7,gesz,NL-HaNA_1.04.02_6847_0325.txt,GPE,"tekend en gesz: op Een
Z"
8,rd=s,NL-HaNA_1.04.02_6847_0325.txt,ORG, van tien rd=s /ondersto
9,/onderstond,NL-HaNA_1.04.02_6847_0325.txt,ORG,tien rd=s /onderstond) quod att
10,attestor /was ge,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"ond) quod attestor /was ge„
tekend L"
11,Severin,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"nd) E: F: Severin sec=s
op
"
12,"geteen
",NL-HaNA_1.04.02_6847_1190.txt,PERSON,"geteen
"
13,Eijndelijk betrijgden,NL-HaNA_1.04.02_6847_0027.txt,ORG,"s gesteld
Eijndelijk betrijgden de testat"
14,hinne gemeene,NL-HaNA_1.04.02_6847_0027.txt,GPE,"zigul dat hinne gemeene boedel
be"
15,drijdelijk,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"en wel en drijdelijk voor„
geh"
16,Codiciel zoo,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"tament of Codiciel zoo en
indier"
17,Testateuren,NL-HaNA_1.04.02_6847_0027.txt,ORG,se van de Testateuren staande t
18,"Abraham
Salomons",NL-HaNA_1.04.02_6847_0027.txt,PERSON,"wesen van Abraham
Salomons en Bernar"
19,Bernardus Aronsz,NL-HaNA_1.04.02_6847_0027.txt,PERSON,lomons en Bernardus Aronsz myne kler
20,myne klerken,NL-HaNA_1.04.02_6847_0027.txt,PERSON,us Aronsz myne klerken als getuy
21,guod attestor,NL-HaNA_1.04.02_6847_0027.txt,PERSON,derstond/ guod attestor /was gete
22,Testament,NL-HaNA_1.04.02_6847_0027.txt,PERSON,stond dit Testament ialhier t
23,heeren weesm,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ingevolge heeren weesm: resol:
v"
24,resol,NL-HaNA_1.04.02_6847_0027.txt,GPE,"en weesm: resol:
van dato"
25,"Jann
",NL-HaNA_1.04.02_6847_0027.txt,PERSON,": den 25: Jann
1769
/was "
26,getekend/ meijer,NL-HaNA_1.04.02_6847_0027.txt,ORG,"1769
/was getekend/ meijer secretari"
27,"Pruymer
",NL-HaNA_1.04.02_6847_0027.txt,ORG,"cretaris!
Pruymer
Gerind Ger"
28,Gerhard Henderk,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"er
Gerind Gerhard Henderk
N:o 8 op
"
29,Iunij,NL-HaNA_1.04.02_6847_0027.txt,ORG,"n den 18: Iunij 1763.
Com"
30,Pieter Iacob,NL-HaNA_1.04.02_6847_0027.txt,PERSON,r mij M:r Pieter Iacob Bert not=
31,Bert not,NL-HaNA_1.04.02_6847_0027.txt,PERSON,ter Iacob Bert not=s publ: b
32,batavia,NL-HaNA_1.04.02_6847_0027.txt,GPE,en destad batavia redideere
33,naargenoemde,NL-HaNA_1.04.02_6847_0027.txt,GPE,resent de naargenoemde getuigen 
34,Heer geerhardt,NL-HaNA_1.04.02_6847_0027.txt,PERSON,tuigen De Heer geerhardt Hendrik P
35,Hendrik Prui,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"geerhardt Hendrik Prui„
mers Fab"
36,Fabrijcq,NL-HaNA_1.04.02_6847_0027.txt,GPE,"rui„
mers Fabrijcq en Iuff=m"
37,Susanna Maria Grebel,NL-HaNA_1.04.02_6847_0027.txt,PERSON,en Iuff=m Susanna Maria Grebel Egteliede
38,Egtelieden,NL-HaNA_1.04.02_6847_0027.txt,PERSON,ia Grebel Egtelieden mij beken
39,den Eersten,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ende
zijn den Eersten ziekelijk"
40,lachaame,NL-HaNA_1.04.02_6847_0027.txt,GPE,"esond van lachaame
beijde na"
41,onverwaarde uijtspraak,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"rstand en onverwaarde uijtspraak,
Te kenne"
42,risponeeren,NL-HaNA_1.04.02_6847_0027.txt,GPE,ijn om te risponeeren over hunn
43,hunne natelatene,NL-HaNA_1.04.02_6847_0027.txt,PERSON,eren over hunne natelatene goederen 
44,hondende de zelve,NL-HaNA_1.04.02_6847_0027.txt,PERSON,eren maar hondende de zelve voor mil 
45,mil korgteloos,NL-HaNA_1.04.02_6847_0027.txt,PERSON,elve voor mil korgteloos en van on
46,Anna Lamentia,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ke dogter Anna Lamentia pruij„
me"
47,Fortuijn,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"aven
gen: Fortuijn van boegi"
48,Cananga,NL-HaNA_1.04.02_6847_0027.txt,GPE,oegies en Cananga van batav
49,batavia,NL-HaNA_1.04.02_6847_0027.txt,GPE,nanga van batavia mitsg:s a
50,mitsg,NL-HaNA_1.04.02_6847_0027.txt,PERSON,n batavia mitsg:s alle kl
51,successivelijk van den,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"
die paar successivelijk van den heer test"
52,desen verstaande nogthans,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"zijn,
met desen verstaande nogthans dat ingev"
53,legatrice,NL-HaNA_1.04.02_6847_0027.txt,GPE,"alle gem: legatrice onmondig
"
