,entity_name,filename,entity_type,snippet
0,"revoceeren
",NL-HaNA_1.04.02_6847_0325.txt,PERSON,"weeder te revoceeren
en voorts "
1,Kragt,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"zoodanige Kragt
en waarde"
2,inne Woordelijk,NL-HaNA_1.04.02_6847_0325.txt,PERSON," het hier
inne Woordelijk stonde ge"
5,David Jansz,NL-HaNA_1.04.02_6847_0325.txt,PERSON,eesen van David Jansz: ende Fre
6,Fredericus Con,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"nsz: ende Fredericus Con„
stantijn"
10,attestor /was ge,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"ond) quod attestor /was ge„
tekend L"
11,Severin,NL-HaNA_1.04.02_6847_0325.txt,PERSON,"nd) E: F: Severin sec=s
op
"
12,"geteen
",NL-HaNA_1.04.02_6847_1190.txt,PERSON,"geteen
"
15,drijdelijk,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"en wel en drijdelijk voor„
geh"
16,Codiciel zoo,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"tament of Codiciel zoo en
indier"
18,"Abraham
Salomons",NL-HaNA_1.04.02_6847_0027.txt,PERSON,"wesen van Abraham
Salomons en Bernar"
19,Bernardus Aronsz,NL-HaNA_1.04.02_6847_0027.txt,PERSON,lomons en Bernardus Aronsz myne kler
20,myne klerken,NL-HaNA_1.04.02_6847_0027.txt,PERSON,us Aronsz myne klerken als getuy
21,guod attestor,NL-HaNA_1.04.02_6847_0027.txt,PERSON,derstond/ guod attestor /was gete
22,Testament,NL-HaNA_1.04.02_6847_0027.txt,PERSON,stond dit Testament ialhier t
23,heeren weesm,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ingevolge heeren weesm: resol:
v"
25,"Jann
",NL-HaNA_1.04.02_6847_0027.txt,PERSON,": den 25: Jann
1769
/was "
28,Gerhard Henderk,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"er
Gerind Gerhard Henderk
N:o 8 op
"
30,Pieter Iacob,NL-HaNA_1.04.02_6847_0027.txt,PERSON,r mij M:r Pieter Iacob Bert not=
31,Bert not,NL-HaNA_1.04.02_6847_0027.txt,PERSON,ter Iacob Bert not=s publ: b
34,Heer geerhardt,NL-HaNA_1.04.02_6847_0027.txt,PERSON,tuigen De Heer geerhardt Hendrik P
35,Hendrik Prui,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"geerhardt Hendrik Prui„
mers Fab"
37,Susanna Maria Grebel,NL-HaNA_1.04.02_6847_0027.txt,PERSON,en Iuff=m Susanna Maria Grebel Egteliede
38,Egtelieden,NL-HaNA_1.04.02_6847_0027.txt,PERSON,ia Grebel Egtelieden mij beken
39,den Eersten,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ende
zijn den Eersten ziekelijk"
41,onverwaarde uijtspraak,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"rstand en onverwaarde uijtspraak,
Te kenne"
43,hunne natelatene,NL-HaNA_1.04.02_6847_0027.txt,PERSON,eren over hunne natelatene goederen 
44,hondende de zelve,NL-HaNA_1.04.02_6847_0027.txt,PERSON,eren maar hondende de zelve voor mil 
45,mil korgteloos,NL-HaNA_1.04.02_6847_0027.txt,PERSON,elve voor mil korgteloos en van on
46,Anna Lamentia,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"ke dogter Anna Lamentia pruij„
me"
47,Fortuijn,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"aven
gen: Fortuijn van boegi"
50,mitsg,NL-HaNA_1.04.02_6847_0027.txt,PERSON,n batavia mitsg:s alle kl
51,successivelijk van den,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"
die paar successivelijk van den heer test"
52,desen verstaande nogthans,NL-HaNA_1.04.02_6847_0027.txt,PERSON,"zijn,
met desen verstaande nogthans dat ingev"
58,"legateeren
",NL-HaNA_1.04.02_6847_0455.txt,PERSON,"tateur
te legateeren
Eerstelijk"
59,Edelheijd den Hoog Edele groot,NL-HaNA_1.04.02_6847_0455.txt,PERSON,"zijn Hoog Edelheijd den Hoog Edele groot Agtbaare
"
60,Ieremias van Riemsdijk,NL-HaNA_1.04.02_6847_0455.txt,PERSON,"are
Heere Ieremias van Riemsdijk gouverneu"
61,Eene somma van vijff duijzend,NL-HaNA_1.04.02_6847_0455.txt,PERSON,nds Jndia Eene somma van vijff duijzend Rijksdaal
62,Edelen Gestrenge Heer,NL-HaNA_1.04.02_6847_0455.txt,PERSON,n den wel Edelen Gestrenge Heer Pieter Ha
64,Heeren Neemraden der Bataviase,NL-HaNA_1.04.02_6847_0455.txt,PERSON,"legie van
Heeren Neemraden der Bataviase ommelande"
65,Mevrouwe Mariana Louisade,NL-HaNA_1.04.02_6847_0455.txt,PERSON,jn zuster Mevrouwe Mariana Louisade Fillietaz
66,Jandu,NL-HaNA_1.04.02_6847_0455.txt,PERSON,t de heer Jandu froidevil
67,Heer van froideville,NL-HaNA_1.04.02_6847_0455.txt,PERSON,oideville Heer van froideville en balens
70,eene somma van Vijffthien,NL-HaNA_1.04.02_6847_0455.txt,PERSON,"elserland eene somma van Vijffthien
Duijzend "
72,Mejuffrouwe Sophia,NL-HaNA_1.04.02_6847_0455.txt,PERSON,ee nigten Mejuffrouwe Sophia en Consta
74,Zwilserland,NL-HaNA_1.04.02_6847_0455.txt,PERSON,rcille in Zwilserland ieder een
76,Jean Louis Maas,NL-HaNA_1.04.02_6847_0455.txt,PERSON,doop zoon Jean Louis Maas zoon van 
77,Heer en M,NL-HaNA_1.04.02_6847_0455.txt,PERSON," den
Agtb Heer en M:r Gijsber"
78,r Gijsbertus Maas,NL-HaNA_1.04.02_6847_0455.txt,PERSON,Heer en M:r Gijsbertus Maas ordinair 
79,Ed Agtbaare,NL-HaNA_1.04.02_6847_0455.txt,PERSON,"Lid inden Ed Agtbaare
raad van "
80,Eerwaarden,NL-HaNA_1.04.02_6847_0455.txt,PERSON,"anden wel Eerwaarden heer
Fred"
