,entity_name,filename,entity_type,snippet
4,Hendrik Frije,NL-HaNA_1.04.02_6847_0028.txt,PERSON,:d Geerdt Hendrik Frije Jan Frije
5,Jan Frije,NL-HaNA_1.04.02_6847_0028.txt,PERSON,"rik Frije Jan Frije en
Anna F"
6,Anna Frije,NL-HaNA_1.04.02_6847_0028.txt,PERSON," Frije en
Anna Frije Zijnde Ge"
7,Zijnde Getrouwd,NL-HaNA_1.04.02_6847_0028.txt,PERSON,nna Frije Zijnde Getrouwd met een S
10,desselfs gemachtigdens de Heeren,NL-HaNA_1.04.02_6847_0028.txt,PERSON,erden aan desselfs gemachtigdens de Heeren cristiaan
12,Johannes Benkelaar,NL-HaNA_1.04.02_6847_0028.txt,PERSON,nt en M:r Johannes Benkelaar beijde wo
17,gem:t,NL-HaNA_1.04.02_6847_0028.txt,PERSON,ens minte gem:t mede prij
18,wyse,NL-HaNA_1.04.02_6847_0028.txt,PERSON,ateur bij wyse van legaa
19,den nagelatenen,NL-HaNA_1.04.02_6847_0028.txt,PERSON,hun weg:s den nagelatenen boedel va
21,begee,NL-HaNA_1.04.02_6847_0028.txt,PERSON,"bben niet begee„
rende da"
23,verklaarde den,NL-HaNA_1.04.02_6847_0028.txt,PERSON,aastelijk verklaarde den heer test
26,Anthonies egte,NL-HaNA_1.04.02_6847_0028.txt,PERSON, Lanrenha Anthonies egte lieden of
27,eeninder,NL-HaNA_1.04.02_6847_0028.txt,PERSON,ijden van eeninder selver de
29,generaale,NL-HaNA_1.04.02_6847_0028.txt,PERSON,meede ter generaale dispositi
35,achen,NL-HaNA_1.04.02_6847_0028.txt,PERSON, goederen achen en mediki
36,uytgesondert,NL-HaNA_1.04.02_6847_0028.txt,PERSON,"kin
niets uytgesondert mits en o"
37,verstaande nogthans,NL-HaNA_1.04.02_6847_0028.txt,PERSON,"nder dien verstaande nogthans dat de
la"
42,Jan Henderik van der Laan,NL-HaNA_1.04.02_6847_0014.txt,PERSON,"ecretaris
Jan Henderik van der Laan
N„o 2
op "
43,Egbert Blomhert,NL-HaNA_1.04.02_6847_0014.txt,PERSON,r mij m:r Egbert Blomhert nots publ
47,"Jan
Hendrik van der laan",NL-HaNA_1.04.02_6847_0014.txt,PERSON,"uijgen dE Jan
Hendrik van der laan Koopman U"
48,Johanna Albertina Franchimont Egtelieden,NL-HaNA_1.04.02_6847_0014.txt,PERSON," mejnst=m Johanna Albertina Franchimont Egtelieden woonen„
d"
49,volko,NL-HaNA_1.04.02_6847_0014.txt,PERSON,"nots: met volko„
men vers"
50,uijtspraeke,NL-HaNA_1.04.02_6847_0014.txt,PERSON,duidelijk uijtspraeke te kennen
52,"natelatene
Goederen",NL-HaNA_1.04.02_6847_0014.txt,PERSON,"fer hunne natelatene
Goederen testament"
57,zyne ofte haare,NL-HaNA_1.04.02_6847_0014.txt,PERSON,eeren tot zyne ofte haare Eenige al
59,Crediten,NL-HaNA_1.04.02_6847_0014.txt,PERSON,actien en Crediten niets uij
60,de Legibime,NL-HaNA_1.04.02_6847_0014.txt,PERSON, tekeeren de Legibime portie de
61,deselven voor zoo verre,NL-HaNA_1.04.02_6847_0014.txt,PERSON, zelve of deselven voor zoo verre tot zin o
62,Erfgenaam oft Erfgenamen bij desen,NL-HaNA_1.04.02_6847_0014.txt,PERSON,"haar mede
Erfgenaam oft Erfgenamen bij desen en dat me"
63,schul van institantie,NL-HaNA_1.04.02_6847_0014.txt,PERSON,"e regt
en schul van institantie
Edog indi"
65,Elisabeth Blencke wed,NL-HaNA_1.04.02_6847_0014.txt,PERSON, mesust=m Elisabeth Blencke wed=e wijlen 
66,"Jan
Hendrik van der laen",NL-HaNA_1.04.02_6847_0014.txt,PERSON,"n de heer Jan
Hendrik van der laen /in E„ Ri"
67,„ Rigter,NL-HaNA_1.04.02_6847_0014.txt,PERSON,laen /in E„ Rigter tot belli
70,Ian van veeren,NL-HaNA_1.04.02_6847_0047.txt,PERSON,"1 7:
_
DE Ian van veeren Iunior bo"
71,"Anna
mogdalena",NL-HaNA_1.04.02_6847_0047.txt,PERSON,"en Just=m Anna
mogdalena Siewerts "
72,Siewerts Egtelieden,NL-HaNA_1.04.02_6847_0047.txt,PERSON,mogdalena Siewerts Egtelieden woonende 
74,ziekelyk,NL-HaNA_1.04.02_6847_0047.txt,PERSON,testateur ziekelyk ende test
80,generaale,NL-HaNA_1.04.02_6847_0047.txt,PERSON,ieuws ter generaale dispositi
84,naartelafen zoo,NL-HaNA_1.04.02_6847_0047.txt,PERSON,ruymen en naartelafen zoo roerende 
85,uytgesondert,NL-HaNA_1.04.02_6847_0047.txt,PERSON,"ten niets uytgesondert,
mits en "
86,deesen verstaande nogthans,NL-HaNA_1.04.02_6847_0047.txt,PERSON,"ts en met deesen verstaande nogthans, dat zijn"
87,Erfge,NL-HaNA_1.04.02_6847_0047.txt,PERSON,"n vrouwen Erfge„
name geh"
88,uyttekeeren,NL-HaNA_1.04.02_6847_0047.txt,PERSON,natelaten uyttekeeren de legiti
89,de legitime,NL-HaNA_1.04.02_6847_0047.txt,PERSON,ttekeeren de legitime portie de
92,Jan van veeren,NL-HaNA_1.04.02_6847_0047.txt,PERSON,s de heer Jan van veeren en dessel
93,prysvrou mejn,NL-HaNA_1.04.02_6847_0047.txt,PERSON, desselvs prysvrou mejn p=m Elisa
94,"Elisabeth
westvien woonagtig in",NL-HaNA_1.04.02_6847_0047.txt,PERSON," mejn p=m Elisabeth
westvien woonagtig in holland i"
96,phen,NL-HaNA_1.04.02_6847_0047.txt,PERSON,olland in phen loenen en
98,natelatene,NL-HaNA_1.04.02_6847_0047.txt,PERSON,zijn gem: natelatene kond of k
101,almeede ter generaale,NL-HaNA_1.04.02_6847_0047.txt,PERSON,estatrice almeede ter generaale dispositi
102,umverseele Erfgenamen,NL-HaNA_1.04.02_6847_0047.txt,PERSON,eenige en umverseele Erfgenamen van alle 
103,gesondert,NL-HaNA_1.04.02_6847_0047.txt,PERSON,"eene
mijt gesondert te nomine"
105,haer man den tessatenr,NL-HaNA_1.04.02_6847_0047.txt,PERSON,"titueeren haer man den tessatenr en haar
v"
106,Johanna mogdalena,NL-HaNA_1.04.02_6847_0047.txt,PERSON,rkinderen Johanna mogdalena omtrent n
