,entity_name,filename,entity_type,snippet
0,devolveeren,NL-HaNA_1.04.02_6847_0028.txt,GPE,al moeten devolveeren op zyn Ed
1,meldene,NL-HaNA_1.04.02_6847_0028.txt,GPE,"her na te meldene Erfgenaa
"
2,"Erfgenaa
",NL-HaNA_1.04.02_6847_0028.txt,ORG,"e meldene Erfgenaa
nirgeverkl"
3,legateeren,NL-HaNA_1.04.02_6847_0028.txt,GPE,tateur te legateeren aan zijn 
4,Hendrik Frije,NL-HaNA_1.04.02_6847_0028.txt,PERSON,:d Geerdt Hendrik Frije Jan Frije
5,Jan Frije,NL-HaNA_1.04.02_6847_0028.txt,PERSON,"rik Frije Jan Frije en
Anna F"
6,Anna Frije,NL-HaNA_1.04.02_6847_0028.txt,PERSON," Frije en
Anna Frije Zijnde Ge"
7,Zijnde Getrouwd,NL-HaNA_1.04.02_6847_0028.txt,PERSON,nna Frije Zijnde Getrouwd met een S
8,Carolie,NL-HaNA_1.04.02_6847_0028.txt,ORG,e duisend Carolie guldens t
9,teg,NL-HaNA_1.04.02_6847_0028.txt,ORG,"e guldens teg:
Twintig "
10,desselfs gemachtigdens de Heeren,NL-HaNA_1.04.02_6847_0028.txt,PERSON,erden aan desselfs gemachtigdens de Heeren cristiaan
11,"cristiaan
Klaarbont en M",NL-HaNA_1.04.02_6847_0028.txt,ORG,"de Heeren cristiaan
Klaarbont en M:r Johanne"
12,Johannes Benkelaar,NL-HaNA_1.04.02_6847_0028.txt,PERSON,nt en M:r Johannes Benkelaar beijde wo
13,amstveromme dus verder aan gemelte Legatarissen,NL-HaNA_1.04.02_6847_0028.txt,ORG,"agtig tot
amstveromme dus verder aan gemelte Legatarissen of bij do"
14,Hondert,NL-HaNA_1.04.02_6847_0028.txt,ORG," van vijf
Hondert Carolie G"
15,Carolie,NL-HaNA_1.04.02_6847_0028.txt,ORG,"f
Hondert Carolie Guldens m"
16,minte,NL-HaNA_1.04.02_6847_0028.txt,GPE,e Guldens minte gem:t med
17,gem:t,NL-HaNA_1.04.02_6847_0028.txt,PERSON,ens minte gem:t mede prij
18,wyse,NL-HaNA_1.04.02_6847_0028.txt,PERSON,ateur bij wyse van legaa
19,den nagelatenen,NL-HaNA_1.04.02_6847_0028.txt,PERSON,hun weg:s den nagelatenen boedel va
20,benistinge,NL-HaNA_1.04.02_6847_0028.txt,GPE,der haare benistinge mogten he
21,begee,NL-HaNA_1.04.02_6847_0028.txt,PERSON,"bben niet begee„
rende da"
22,ofr,NL-HaNA_1.04.02_6847_0028.txt,ORG, zij hier ofr zal of zu
23,verklaarde den,NL-HaNA_1.04.02_6847_0028.txt,PERSON,aastelijk verklaarde den heer test
24,legoteeren,NL-HaNA_1.04.02_6847_0028.txt,GPE,"ur nog te legoteeren aan
Iohan"
25,Iohannes Simnonsz,NL-HaNA_1.04.02_6847_0028.txt,ORG,"eeren aan
Iohannes Simnonsz en Lanren"
26,Anthonies egte,NL-HaNA_1.04.02_6847_0028.txt,PERSON, Lanrenha Anthonies egte lieden of
27,eeninder,NL-HaNA_1.04.02_6847_0028.txt,PERSON,ijden van eeninder selver de
28,teg,NL-HaNA_1.04.02_6847_0028.txt,ORG,: almeede teg:s 48: sw:
29,generaale,NL-HaNA_1.04.02_6847_0028.txt,PERSON,meede ter generaale dispositi
30,nomineeren,NL-HaNA_1.04.02_6847_0028.txt,GPE,beijde te nomineeren en instit
31,institueeren,NL-HaNA_1.04.02_6847_0028.txt,GPE,neeren en institueeren tot zijn 
